freq,W1,W2,W3,W4,W5,W6,W7,W8,L1,L2,L3,L4,S11r,S11i,S21r,S21i,S31r,S31i,S41r,S41i
2.6,3.4,2.3,4.0,4.3,2.7,2.1,1.5,3.1,47.2,55.4,91.4,64.3,-0.384,0.436,0.305,0.51,-0.095,0.197,0.204,0.449
2.6,1.0,4.8,4.2,2.2,3.2,4.6,2.3,3.9,59.6,70.6,61.6,13.3,-0.151,0.439,0.442,-0.431,0.384,-0.278,0.399,0.011
2.6,2.2,1.6,4.8,1.7,4.6,1.7,3.8,4.7,67.4,6.1,81.8,90.7,-0.396,0.51,-0.302,-0.412,-0.261,-0.299,0.382,0.009
2.6,2.2,3.8,4.6,4.9,4.3,1.8,3.3,3.7,25.8,25.0,17.9,12.2,-0.687,0.136,-0.196,0.187,0.163,0.596,-0.194,0.071
2.6,2.0,1.6,1.3,4.2,1.6,2.7,2.5,3.4,29.6,37.1,30.0,57.7,-0.437,0.098,-0.348,0.577,0.416,-0.291,-0.193,0.176
2.6,3.5,3.6,4.4,3.0,2.4,2.4,1.9,3.6,36.8,4.8,43.1,15.5,-0.551,0.373,-0.077,-0.427,0.219,0.456,-0.224,0.236
2.6,2.4,1.2,3.2,2.9,1.2,3.8,4.8,2.7,88.7,71.9,71.2,12.8,-0.635,0.246,0.217,-0.124,0.268,0.001,-0.323,-0.521
2.6,2.3,2.1,2.0,1.4,2.2,1.0,3.1,1.8,25.1,8.1,21.0,25.4,0.142,-0.231,0.059,-0.576,-0.273,0.661,-0.239,-0.071
2.6,3.9,2.0,4.7,4.1,1.8,4.4,3.5,3.8,13.8,94.4,71.8,55.8,-0.468,0.187,-0.058,-0.258,-0.047,-0.316,-0.422,-0.618
2.6,1.3,2.4,1.5,2.3,2.0,2.6,4.6,1.1,82.5,7.8,89.3,51.4,0.024,0.284,0.055,-0.457,-0.194,-0.001,0.446,-0.667
2.6,1.0,2.6,4.8,2.8,4.5,4.6,1.8,1.6,38.5,95.9,77.4,71.1,-0.084,0.608,-0.204,0.312,-0.385,0.284,-0.33,0.342
2.6,2.5,3.5,4.4,2.6,1.2,3.6,3.7,1.7,32.6,76.6,21.5,16.5,-0.201,0.235,0.178,-0.522,-0.371,0.255,-0.526,0.32
2.6,1.0,2.2,3.2,4.8,4.0,2.4,2.9,1.6,99.8,20.3,46.5,31.9,-0.083,0.28,-0.504,-0.1,0.529,-0.014,-0.589,-0.022
2.6,3.3,4.6,1.7,2.4,1.3,4.9,3.3,1.2,89.8,22.1,31.9,35.6,-0.375,0.236,-0.435,-0.173,0.318,0.425,-0.355,-0.401
2.6,3.5,4.7,1.5,3.5,5.0,2.3,4.0,1.3,89.8,97.2,4.4,92.7,-0.25,-0.229,-0.458,-0.167,-0.499,0.283,-0.024,0.499
2.6,1.8,4.0,2.9,2.6,3.4,1.2,2.2,4.9,54.4,46.1,82.0,95.0,0.1,0.622,-0.174,0.332,0.465,0.132,0.431,0.06
2.6,2.8,1.4,2.1,4.1,1.8,4.0,3.8,3.4,94.8,17.2,85.5,14.8,0.247,-0.182,-0.086,0.017,-0.51,0.297,-0.563,-0.441
2.6,3.5,2.1,1.9,2.6,2.4,4.1,1.1,3.7,59.1,14.4,36.2,28.0,0.577,0.196,-0.415,-0.118,0.186,0.089,0.595,0.069
2.6,1.4,3.6,2.5,4.8,1.0,4.9,3.8,1.0,60.2,39.0,43.3,6.3,-0.336,0.246,0.016,0.561,0.017,-0.565,0.165,0.382
2.6,4.1,4.4,3.6,1.9,4.5,3.9,2.2,4.8,94.0,99.8,87.4,60.7,-0.222,0.357,-0.753,-0.217,0.045,-0.048,-0.4,-0.076
2.6,2.5,2.1,2.8,2.3,1.5,3.6,3.0,2.2,38.0,35.3,32.4,59.2,-0.585,0.167,-0.159,0.467,0.217,-0.228,-0.143,0.501
2.6,3.7,1.8,2.5,3.0,3.9,1.5,4.0,2.1,89.3,87.5,59.7,42.9,0.413,0.488,-0.336,-0.177,0.589,0.016,-0.087,-0.168
2.6,4.5,2.8,4.7,3.9,1.2,2.8,1.1,2.8,4.6,87.6,24.3,48.8,-0.517,0.165,-0.243,-0.445,0.109,0.313,0.137,-0.556
2.6,3.8,3.3,4.3,2.7,3.9,4.1,3.9,1.9,66.5,32.0,49.6,99.8,-0.684,0.421,-0.187,0.101,-0.302,-0.377,0.213,0.118
2.6,1.4,1.8,5.0,4.8,2.6,3.7,2.2,4.2,68.0,43.4,66.1,59.8,-0.337,0.426,0.23,0.56,0.17,0.393,0.325,-0.169
2.6,4.1,4.0,1.2,2.0,1.3,4.7,3.7,3.1,16.1,85.8,98.6,41.2,-0.331,0.1,-0.273,-0.596,-0.101,0.405,0.001,-0.499
2.6,1.5,1.1,4.3,2.3,3.7,4.6,1.4,3.7,86.1,21.2,50.0,34.1,-0.056,0.541,-0.496,-0.305,0.05,0.411,-0.164,-0.382
2.6,4.4,4.9,1.0,2.4,1.2,2.7,3.0,1.7,95.0,59.4,96.1,68.1,-0.445,0.016,0.543,0.163,-0.078,-0.561,0.035,-0.361
2.6,4.7,2.0,3.4,2.7,2.4,4.8,3.6,1.9,98.3,19.2,54.7,56.1,-0.452,-0.283,-0.053,-0.293,0.066,-0.567,-0.518,0.07
2.6,2.9,3.3,4.8,3.8,4.4,1.4,4.3,4.3,31.0,85.6,77.8,73.2,-0.192,0.428,-0.387,0.003,-0.467,0.09,-0.607,-0.082
2.6,4.7,3.0,4.0,2.7,2.7,3.9,2.6,3.7,91.4,96.3,21.8,81.3,-0.158,-0.368,-0.402,0.207,-0.522,0.428,-0.201,-0.28
2.6,2.6,3.5,3.3,4.6,1.7,1.9,5.0,2.4,25.5,25.4,35.1,30.4,-0.383,0.267,-0.51,0.031,0.504,-0.002,-0.506,-0.041
2.6,3.6,4.4,2.3,2.5,2.8,3.3,2.9,1.2,29.1,98.0,72.1,82.8,-0.278,0.113,-0.457,0.173,-0.434,0.034,-0.673,0.01
2.6,2.7,2.5,4.3,3.5,1.1,3.7,3.9,1.2,48.9,43.3,45.3,58.4,-0.288,0.578,0.161,0.114,-0.445,-0.209,0.037,0.532
2.6,4.6,1.2,1.3,3.8,4.7,2.2,4.6,2.6,22.1,56.3,65.6,74.4,0.078,-0.916,0.141,-0.187,-0.142,0.187,-0.083,0.012
