freq,WS1,WS2,W1,W2,LS1,LS2,L1,L2,S11r,S11i,S21r,S21i,S31r,S31i,S41r,S41i
2.0,2.8,4.0,1.2,3.7,3.8,10.7,10.8,41.1,-0.4175,0.1805,-0.4108,0.1984,0.0997,0.5675,-0.0368,-0.4862
2.0,2.0,3.3,4.2,2.1,11.9,2.7,17.4,26.1,-0.2032,0.1688,0.0648,0.1305,-0.4004,0.2043,-0.5376,-0.6364
2.0,2.1,2.6,4.0,4.3,6.5,7.9,34.4,39.3,-0.5239,0.168,-0.447,-0.0285,0.4526,0.2382,-0.4508,-0.1464
2.0,4.3,4.4,4.5,3.5,16.6,7.8,32.1,11.1,-0.822,-0.1476,-0.184,-0.1462,0.0679,0.4604,-0.1129,0.0851
2.0,1.7,2.1,1.4,4.3,21.2,7.8,39.9,5.3,-0.8067,0.4242,-0.213,-0.2923,0.0111,0.0844,0.0387,0.1417
2.0,1.6,4.5,4.0,1.5,13.1,13.7,30.0,4.6,-0.0772,0.1696,-0.3529,-0.5176,-0.5799,0.3647,0.2727,-0.0156
2.0,4.5,1.7,2.8,4.2,5.8,6.4,31.3,25.2,-0.5017,-0.1505,-0.3794,-0.1601,-0.0034,0.6843,-0.1444,-0.2315
2.0,2.1,3.0,4.8,3.3,10.4,7.6,32.0,19.9,-0.5223,-0.1288,-0.046,-0.3811,-0.0094,0.605,-0.4218,-0.0903
2.0,1.0,1.4,3.2,2.6,10.0,4.8,39.4,15.0,-0.5091,-0.1028,0.0269,-0.3686,-0.0639,0.6147,-0.4458,-0.0089
2.0,1.4,1.9,2.4,1.0,17.0,16.3,6.0,11.2,-0.3493,0.113,-0.3368,0.1377,-0.3819,0.1082,0.1936,-0.7226
2.0,2.1,1.5,4.7,3.0,12.5,4.2,11.7,22.9,-0.4358,0.2082,-0.3358,0.1209,-0.4588,0.0397,0.0599,-0.6446
2.0,4.4,1.8,3.4,1.6,7.6,3.8,31.7,16.9,-0.2555,-0.2455,0.0476,-0.2929,-0.1727,0.5746,-0.6397,-0.0618
2.0,4.9,1.8,1.6,4.5,2.5,15.3,39.2,32.1,-0.3782,0.1926,-0.4278,0.093,0.456,0.2568,-0.5503,-0.1888
2.0,2.0,1.5,1.5,3.8,7.8,8.6,5.2,35.2,-0.2227,0.4522,-0.4515,0.1464,-0.5058,0.1195,0.2148,-0.4426
2.0,1.9,2.5,3.9,1.9,20.1,8.8,35.3,9.9,-0.8773,-0.0723,-0.1813,-0.1567,0.1677,0.2992,-0.104,0.165
2.0,2.2,4.2,1.7,3.4,5.6,13.4,35.8,12.7,-0.0027,0.4725,-0.5792,-0.3985,-0.2535,0.2932,0.3249,-0.0732
2.0,3.5,4.1,1.2,2.4,14.6,19.2,26.3,6.9,0.2045,0.6361,-0.5709,-0.1408,-0.1319,0.1549,0.3005,-0.1941
2.0,2.3,4.0,2.4,1.9,3.5,4.6,39.9,37.2,-0.4572,0.0698,-0.473,-0.037,0.494,0.174,-0.5154,0.0928
2.0,3.5,1.9,1.5,1.4,12.2,7.6,14.7,29.0,-0.0613,-0.149,-0.0343,-0.1187,-0.3179,0.541,-0.7323,-0.0907
2.0,4.4,4.6,1.5,1.0,15.8,16.0,5.2,34.7,-0.7471,0.5033,0.0142,0.0611,0.0052,0.0556,-0.23,-0.3505
2.0,2.1,3.1,4.0,2.4,3.2,6.4,26.9,14.9,0.0325,-0.0186,-0.0258,-0.0642,-0.6995,0.3844,-0.1861,-0.5529
2.0,2.7,3.2,3.7,4.4,13.0,14.3,39.2,26.4,-0.4254,-0.0505,-0.4691,0.0477,0.4813,0.044,-0.5596,0.1751
2.0,3.1,2.4,1.3,1.1,16.8,7.9,5.1,41.6,-0.5922,0.5498,0.0086,0.2112,-0.0714,0.1871,-0.3052,-0.4003
2.0,2.4,4.1,3.8,4.1,19.5,13.9,43.6,36.3,-0.9465,0.1119,-0.0245,0.1538,0.0331,-0.127,0.001,0.2058
2.0,4.0,3.3,3.8,3.6,9.8,13.1,36.5,26.4,-0.4063,-0.0336,-0.4667,-0.0531,0.4736,0.1622,-0.5835,0.0864
2.0,4.0,1.5,3.0,2.7,15.3,7.1,18.9,39.3,-0.7352,0.0655,-0.3566,-0.0988,0.3134,0.399,-0.2146,-0.0511
2.0,3.2,2.5,1.3,4.4,6.9,6.1,17.0,20.5,-0.0189,0.2769,-0.1303,-0.6401,-0.5589,0.1933,-0.3221,0.1718
2.0,2.1,4.2,1.2,3.4,18.3,2.9,40.5,24.3,-0.7587,0.2958,-0.3342,0.0759,0.3644,0.241,-0.1149,0.0537
2.0,1.4,3.0,2.6,3.0,15.4,15.6,34.8,28.0,-0.3866,-0.2194,-0.4094,0.154,0.4198,-0.0141,-0.5996,0.2364
2.0,3.5,4.9,3.1,3.9,14.3,6.0,30.7,22.2,-0.7089,-0.0953,-0.3214,-0.1635,0.2244,0.4995,-0.2188,0.0039
2.0,2.8,3.8,4.5,1.5,2.2,18.4,8.1,15.8,-0.0678,-0.0204,-0.1423,0.0748,-0.172,0.0466,0.6768,-0.6851
2.0,4.7,3.7,3.6,4.0,4.9,5.1,24.1,19.8,0.0851,-0.0384,-0.199,-0.3349,-0.7577,0.4423,-0.1242,-0.1933
2.0,1.6,2.8,4.6,1.6,21.6,9.8,24.8,12.1,-0.9188,-0.1565,-0.1138,-0.0845,0.0796,0.2086,-0.0676,0.1931
2.0,1.8,2.8,4.1,3.8,3.7,13.9,14.2,27.4,-0.1788,0.0594,-0.0214,0.1838,-0.5285,0.2117,0.0327,-0.7693
2.0,2.7,1.2,1.6,2.9,13.1,9.2,24.1,28.2,-0.5549,-0.1237,-0.5054,-0.0538,0.1293,0.5971,-0.1604,-0.0736
2.0,3.5,3.7,1.0,3.1,12.3,18.6,22.3,15.8,0.0885,-0.0483,-0.4404,0.1856,0.1675,0.3583,-0.3303,-0.6791
2.0,4.0,3.1,1.8,1.5,15.0,10.1,43.8,13.2,-0.7374,0.1008,-0.3805,-0.0604,0.4065,0.1479,-0.1899,0.2491
2.0,4.4,4.9,1.1,4.1,15.0,13.0,42.0,16.4,-0.5185,0.2926,-0.4256,0.1411,0.5028,0.1884,-0.3683,-0.0095
2.0,2.8,1.9,2.0,1.6,16.7,20.1,8.0,11.4,-0.4633,0.2065,0.0424,0.1918,-0.2164,0.1894,-0.2588,-0.7322
2.0,3.4,4.9,3.0,2.0,7.9,7.4,41.6,15.7,-0.481,0.0881,-0.2444,-0.3749,0.2546,0.4815,-0.5005,0.0384
